Artist,Date,Venue,City,DetailLink,Address,PostalCode,Latitude,Longitude
Lente Kabinet 2025,2025-06-07,Unknown,"Oostzaan, Netherlands",https://www.songkick.com/festivals/632669-lente-kabinet/id/42342331-lente-kabinet-2025,Unknown,Unknown,52.4405,4.87572
Morgan Jay,2025-06-08T19:30:00+0200,Theater Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42297283-morgan-jay-at-theater-amsterdam,"Danzigerkade 5, Westpoort number 2036",1013 AP,52.39702,4.87724
Morgan Jay,2025-06-08T22:00:00+0200,Theater Amsterdam,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42302612-morgan-jay-at-theater-amsterdam,"Danzigerkade 5, Westpoort number 2036",1013 AP,52.39702,4.87724
Snowapple,2025-06-10T19:30:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42409885-snowapple-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Duran Duran,2025-06-11T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42382451-duran-duran-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Impact Night,2025-06-11T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42178184-impact-night-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Basia Bulat,2025-06-13T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42444119-basia-bulat-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Mallrat,2025-06-14T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42378115-mallrat-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
"The Bad Plus, Reid Anderson, Dave King, Ben Monder, and Chris Speed",2025-06-14,Bimhuis,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42393871-bad-plus-at-bimhuis,Piet Heinkade 3,1019,52.37815,4.91283
Abel Selaocoe and Ensemble Resonanz,2025-06-14T14:00:00+0200,Het Koninklijk Concertgebouw,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42235286-abel-selaocoe-at-het-koninklijk-concertgebouw,Concertgebouwplein 2-6,1071LN,52.35597,4.87856
Spiral Drive,2025-06-14T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42370062-spiral-drive-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
V.O.F. de Kunst,2025-06-14T20:30:00+0200,Poppodium Q-Factory,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42415961-vof-de-kunst-at-poppodium-qfactory,Atlantisplein 1,1093 NE,52.35762,4.9304
Ruud Houweling,2025-06-14T20:00:00+0200,Theater De Roode Bioscoop,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42452488-ruud-houweling-at-theater-de-roode-bioscoop,Haarlemmerplein 7,1013 HP,52.38411,4.88396
Pitbull and Shaggy,2025-06-15T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42452396-pitbull-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Lucy Dacus,2025-06-16T19:00:00+0200,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42421629-lucy-dacus-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
Stephen Wilson Jr.,2025-06-16,Paradiso,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42415815-stephen-wilson-jr-at-paradiso,Weteringschans 6-8,1017 SG,52.36228,4.88395
RÜFÜS DU SOL and Weval,2025-06-17T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42230453-rufus-du-sol-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
RÜFÜS DU SOL and Weval,2025-06-18T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42237860-rufus-du-sol-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
Lionel Richie,2025-06-19T20:00:00+0200,Ziggo Dome,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42234125-lionel-richie-at-ziggo-dome,De Passage 100,1101 AX,52.31345,4.93719
Morrissey,2025-06-19T20:00:00+0200,AFAS Live,"Amsterdam, Netherlands",https://www.songkick.com/concerts/42437659-morrissey-at-afas-live,Johan Cruijff Boulevard 590,1101DS,52.31216,4.94467
